Zeitraum,Aktivität
Juli Woche 1,Literaturrecherche zu Methoden der Netzwerkanalyse und spezifischen Fallstudie
, Überprüfung der bestehenden Edge- und Nodelist auf Vollständigkeit und Korrektheit.
Juli Woche 2, Datenimport: Einlesen der Edge- und Nodelist in ein geeignetes Datenformat (z.B.
,"Datenaufbereitung: Bereinigung der Daten, Überprüfung auf fehlende Werte oder Fehler."
Juli Woche 3-4,"Explorative Datenanalyse (EDA): Berechnung deskriptiver Netzwerkmaße (Dichte, Zentralitäten"
,Visualisierung: Erstellung erster Netzwerkvisualisierungen zur explorativen Analyse
August Woche 1,Identifikation relevanter Teilnetzwerke: Filterung nach relevanten Attributen (z.B. Themen
,"Berechnung weiterführender Netzwerkmessungen: z.B. Clustern, zentralen Akteuren."
August Woche 2-3, Analyse der Netzwerkdynamik über die Zeit: Entwicklung und Veränderungen identifizieren
,Identifikation von Schlüsselakteuren und deren Rollen im Netzwerk.                          |
September Woche 1,Vergleich mit externen Datenquellen: Erweiterung der Analyse durch externe Daten.
,Validierung: Überprüfung der Netzwerkergebnisse mit Expertenwissen und Literatur.
september Woche 2-3,Ausarbeitung und Formatierung der Ergebnisse für die Präsentation.
,Erstellung von Visualisierungen und Grafiken für die Präsentation.                          |
Oktober Woche 1-2,Fertigstellung des Berichts und der Präsentation: Endgültige Überarbeitung.
,"Vorbereitung für die Präsentation: Probeläufe, Feedback einholen"
November- Januar 2025,Vertiefte Analyse und Erweiterung der Ergebnisse bei Bedarf. |
Februar 2025,Abgabe des Berichts und der Präsentation.
,Abschlusspräsentation und Diskussion der Ergebnisse.
